SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
318147,0,Cash loans,M,Y,Y,0,112500.0,135000.0,14670.0,135000.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.015221,-8160,-975,-2961.0,-802,1,1,0,1,0,0,1.0,2,2,TUESDAY,16,0,0,0,0,1,1,Industry: type 9,0.4754424961315979,0.3506958432829587,15.0,0.0,15.0,0.0,-708.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0
366083,1,Cash loans,F,Y,Y,0,252000.0,900000.0,48955.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-19559,-181,-8378.0,-3086,1,1,0,1,0,1,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Trade: type 3,0.5668690298228906,0.5867400085415683,7.0,0.0,7.0,0.0,-1770.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,8.0
206832,0,Cash loans,F,N,N,0,180000.0,755190.0,38556.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.035792,-13666,-473,-1622.0,-4687,1,1,1,1,1,0,2.0,2,2,MONDAY,15,1,1,0,1,1,0,Business Entity Type 3,0.7303165062615742,0.1419915427739129,0.0,0.0,0.0,0.0,-87.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
436425,1,Cash loans,M,N,N,1,121500.0,247275.0,19134.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.015221,-12586,-1133,-5319.0,-1872,1,1,1,1,1,0,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.4572623621271679,0.4329616670974407,0.0,0.0,0.0,0.0,-479.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
419894,1,Cash loans,M,N,Y,0,112500.0,808650.0,23773.5,675000.0,Family,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.00733,-20351,365243,-2704.0,-3585,1,0,0,1,0,0,2.0,2,2,SATURDAY,18,0,0,0,0,0,0,XNA,0.6535625543400572,0.2650494299443805,3.0,0.0,3.0,0.0,-1039.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
348770,1,Cash loans,F,N,Y,1,81000.0,384048.0,14607.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-15145,-8284,-2089.0,-4894,1,1,0,1,0,0,3.0,3,3,WEDNESDAY,7,0,0,0,0,0,0,Kindergarten,0.2823795764995854,0.6092756673894402,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
240185,1,Cash loans,M,Y,Y,0,112500.0,306000.0,26392.5,306000.0,Other_B,Commercial associate,Higher education,Single / not married,House / apartment,0.001417,-10785,-706,-4877.0,-3387,1,1,0,1,0,0,1.0,2,2,SUNDAY,7,0,0,0,0,0,0,Kindergarten,0.240407633387053,0.6161216908872079,14.0,0.0,14.0,0.0,-344.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,4.0
280590,0,Cash loans,F,N,Y,0,202500.0,518562.0,20695.5,463500.0,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.003813,-21163,365243,-7807.0,-4500,1,0,0,1,0,0,1.0,2,2,THURSDAY,13,0,0,0,0,0,0,XNA,0.5844997226729006,0.5744466170995097,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
445435,0,Cash loans,M,N,Y,1,175500.0,305640.0,32224.5,270000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.011703,-10043,-2428,-1876.0,-2712,1,1,0,1,0,1,3.0,2,2,THURSDAY,10,0,0,0,0,0,0,Realtor,0.6552292238951613,0.7898803468924867,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,4.0
231282,1,Cash loans,F,N,N,0,135000.0,804420.0,41202.0,706500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.00496,-18943,-1032,-2294.0,-865,1,1,0,1,0,0,2.0,2,2,MONDAY,11,0,0,0,0,1,1,Business Entity Type 3,0.5307906967941924,,1.0,0.0,1.0,0.0,-614.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
143441,1,Cash loans,F,Y,Y,2,180000.0,1259626.5,50085.0,1080000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.020246,-13386,-1416,-2527.0,-2017,1,1,0,1,0,0,4.0,3,3,THURSDAY,6,0,0,0,0,0,0,Trade: type 6,0.5302950656963563,,1.0,0.0,1.0,0.0,-2056.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
133086,1,Cash loans,M,Y,Y,0,225000.0,512446.5,40617.0,463500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.02461,-17706,-3043,-7911.0,-1225,1,1,0,1,1,0,2.0,2,2,WEDNESDAY,12,0,1,1,0,0,0,Business Entity Type 3,0.6854732087800408,0.5849900404894085,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
283616,0,Cash loans,F,Y,Y,0,76500.0,677664.0,28615.5,585000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.020713,-21380,365243,-10260.0,-4877,1,0,0,1,0,0,2.0,3,3,SUNDAY,6,0,0,0,0,0,0,XNA,0.608671820491319,0.5531646987710016,0.0,0.0,0.0,0.0,-252.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
267018,1,Cash loans,F,N,Y,1,135000.0,462694.5,36684.0,418500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-14296,-143,-7855.0,-5034,1,1,0,1,0,0,3.0,2,2,SATURDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.6195846911393504,0.2837118826350007,1.0,0.0,1.0,0.0,-581.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
